Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-01-19,Śniadanie,Tyttebær,"10x g",10,4.4,0.07,,,0.06,,,,,,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2025-01-19,Śniadanie,"Blåbar freskfryset","50x g",50,25.5,0.5,,,0.45,,,,,,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-19,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,Śniadanie,"Melvit Platki Owsiane Gorskie","50x g",50,187,6.5,6.5,,3.35,0.6,0,0,0,0,30.5,0.8,0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2025-01-19,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2025-01-19,"II śniadanie",Marchew,"85x g",85,28.05,0.85,0.85,,0.17,0.034,0,0.102,0.017,0.085,7.395,4.25,,3.06,,27.2,1407.6,0.0425,0.0425,,0.1275,,,2.89,,0.4335,0.3825,11.22,0.289,27.2,2.55,13.6,0.085,239.7,,69.7,30.6,0.425,0.1785
2025-01-19,"II śniadanie",Mandarynka,"95x g",95,42.75,0.57,0.57,,0.19,0.019,0.0285,0.038,0.0095,0.0285,10.64,8.74,0,1.805,,19.95,15.2,0.1045,0.019,,0.0665,,0,29.26,0,0.19,0.19,,0.0665,17.1,0.76,16.15,0.0475,179.55,,1.14,28.5,0.285,0
2025-01-19,Obiad,"Mięso z piersi kurczaka","170x g",170,168.3,36.55,0,36.55,2.21,0.51,0.51,0.51,,,0,0,98.6,0,,20.4,10.2,0.17,0.34,,1.02,,0.68,0,0,0.51,21.08,,0.85,408,0,56.1,0,654.5,,93.5,8.5,0.68,
2025-01-19,Obiad,"Szczytno Premium Kasza Jeczmienna Perlowa","50x g",50,169,3.5,,,1.1,0.2,,,,0,34.5,0.25,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2025-01-19,Obiad,"Rema 1000 Raps- og Olivenolje","3x g",3,24.84,0,,,2.76,0.228,1.83,0.78,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-19,Obiad,"Kapusta kiszona","200x g",200,40,2.2,,,0.4,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,Przekąska,"Idun Sterk & Grov Pølsesennep","80x g",80,114.4,4.8,,,5.36,0,,,0,0,11.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04
2025-01-19,Przekąska,"Chleb zwykły","160x g",160,408,10.4,10.4,,2.08,0.448,0.352,1.312,0.064,1.248,90.08,2.24,,6.72,,44.16,,0.24,0.128,,0.16,,,,,0.752,1.68,12.32,1.872,156.8,,46.4,0.208,236.8,,625.92,27.2,1.92,1.568
2025-01-19,Przekąska,Szynka,"275x g",275,231,47.025,,47.025,4.4,1.375,1.925,1.1,,,0.275,0,159.5,0,,28.875,35.75,,0.55,,1.1,,2.2,0,,0,17.325,,4.125,566.5,,88,0.275,1064.25,,1683,8.25,1.65,
2025-01-19,Kolacja,"Tine mleko ekstra lett","300x ml",300,111,10.5,,,1.5,0.9,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2025-01-20,Śniadanie,Tyttebær,"10x g",10,4.4,0.07,,,0.06,,,,,,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2025-01-20,Śniadanie,"Blåbar freskfryset","50x g",50,25.5,0.5,,,0.45,,,,,,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-20,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,Śniadanie,"Melvit Platki Owsiane Gorskie","50x g",50,187,6.5,6.5,,3.35,0.6,0,0,0,0,30.5,0.8,0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2025-01-20,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2025-01-20,"II śniadanie",Marchew,"120x g",120,39.6,1.2,1.2,,0.24,0.048,0,0.144,0.024,0.12,10.44,6,,4.32,,38.4,1987.2,0.06,0.06,,0.18,,,4.08,,0.612,0.54,15.84,0.408,38.4,3.6,19.2,0.12,338.4,,98.4,43.2,0.6,0.252
2025-01-20,"II śniadanie",Brokuły,"150x g",150,46.5,4.5,4.5,,0.6,0.075,0.03,0.21,0.165,0.045,7.8,3.45,,3.75,,178.5,229.5,0.105,0.18,0.75,0.24,,0,124.5,0,1.95,0.9,152.4,0.6,99,22.5,34.5,0.045,577.5,3.75,10.8,72,1.35,0.03
2025-01-20,"II śniadanie","Mager Cottage cheese","150x g",150,118.5,19.5,,,3,1.95,,,,,3.15,3.15,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2025-01-20,Obiad,"Mięso z piersi kurczaka","140x g",140,138.6,30.1,0,30.1,1.82,0.42,0.42,0.42,,,0,0,81.2,0,,16.8,8.4,0.14,0.28,,0.84,,0.56,0,0,0.42,17.36,,0.7,336,0,46.2,0,539,,77,7,0.56,
2025-01-20,Obiad,"Szczytno Premium Kasza Jeczmienna Perlowa","30x g",30,101.4,2.1,,,0.66,0.12,,,,0,20.7,0.15,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2025-01-20,Obiad,"Rema 1000 Raps- og Olivenolje","5x g",5,41.4,0,,,4.6,0.38,3.05,1.3,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-20,Obiad,"Kapusta kiszona","150x g",150,30,1.65,,,0.3,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,Przekąska,"Idun Sterk & Grov Pølsesennep","50x g",50,71.5,3,,,3.35,0,,,0,0,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65
2025-01-20,Przekąska,"Chleb zwykły","130x g",130,331.5,8.45,8.45,,1.69,0.364,0.286,1.066,0.052,1.014,73.19,1.82,,5.46,,35.88,,0.195,0.104,,0.13,,,,,0.611,1.365,10.01,1.521,127.4,,37.7,0.169,192.4,,508.56,22.1,1.56,1.274
2025-01-20,Przekąska,Szynka,"170x g",170,142.8,29.07,,29.07,2.72,0.85,1.19,0.68,,,0.17,0,98.6,0,,17.85,22.1,,0.34,,0.68,,1.36,0,,0,10.71,,2.55,350.2,,54.4,0.17,657.9,,1040.4,5.1,1.02,
2025-01-21,Śniadanie,Tyttebær,"10x g",10,4.4,0.07,,,0.06,,,,,,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2025-01-21,Śniadanie,"Blåbar freskfryset","50x g",50,25.5,0.5,,,0.45,,,,,,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-21,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21,Śniadanie,"Melvit Platki Owsiane Gorskie","50x g",50,187,6.5,6.5,,3.35,0.6,0,0,0,0,30.5,0.8,0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2025-01-21,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2025-01-21,"II śniadanie",Marchew,"55x g",55,18.15,0.55,0.55,,0.11,0.022,0,0.066,0.011,0.055,4.785,2.75,,1.98,,17.6,910.8,0.0275,0.0275,,0.0825,,,1.87,,0.2805,0.2475,7.26,0.187,17.6,1.65,8.8,0.055,155.1,,45.1,19.8,0.275,0.1155
2025-01-21,"II śniadanie",Banan,"85x g",85,82.45,0.85,0.85,0,0.255,0.102,0.0255,0.051,0.017,0.034,18.53,16.32,0,1.445,0,18.7,6.8,0.034,0.085,0.3145,0.306,,0,7.65,0,0.2295,0.425,0.425,0.153,17,2.38,28.05,0.085,335.75,0.884,0.85,5.1,0.34,0
2025-01-21,Obiad,"Mięso z piersi kurczaka","220x g",220,217.8,47.3,0,47.3,2.86,0.66,0.66,0.66,,,0,0,127.6,0,,26.4,13.2,0.22,0.44,,1.32,,0.88,0,0,0.66,27.28,,1.1,528,0,72.6,0,847,,121,11,0.88,
2025-01-21,Obiad,"Szczytno Premium Kasza Jeczmienna Perlowa","20x g",20,67.6,1.4,,,0.44,0.08,,,,0,13.8,0.1,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.002
2025-01-21,Obiad,"Rema 1000 Raps- og Olivenolje","40x g",40,331.2,0,,,36.8,3.04,24.4,10.4,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-21,Obiad,"Kapusta kiszona","100x g",100,20,1.1,,,0.2,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21,Przekąska,"Idun Sterk & Grov Pølsesennep","25x g",25,35.75,1.5,,,1.675,0,,,0,0,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325
2025-01-21,Przekąska,"Chleb zwykły","110x g",110,280.5,7.15,7.15,,1.43,0.308,0.242,0.902,0.044,0.858,61.93,1.54,,4.62,,30.36,,0.165,0.088,,0.11,,,,,0.517,1.155,8.47,1.287,107.8,,31.9,0.143,162.8,,430.32,18.7,1.32,1.078
2025-01-21,Przekąska,Szynka,"56x g",56,47.04,9.576,,9.576,0.896,0.28,0.392,0.224,,,0.056,0,32.48,0,,5.88,7.28,,0.112,,0.224,,0.448,0,,0,3.528,,0.84,115.36,,17.92,0.056,216.72,,342.72,1.68,0.336,
2025-01-21,Przekąska,Boczek,"45x g",45,145.8,6.75,,,13.05,,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08
2025-01-21,Przekąska,"Prior Egg fra Frittgående Norske Høner","150x g",150,223.5,19.5,,,16.5,4.5,,,0,0,0.45,0.45,,,,102,,,0.6,,,,1.95,,0,7.65,,,,,0.045,,,,33,,,,0.6
2025-01-22,Śniadanie,Tyttebær,"10x g",10,4.4,0.07,,,0.06,,,,,,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2025-01-22,Śniadanie,"Blåbar freskfryset","50x g",50,25.5,0.5,,,0.45,,,,,,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-01-22,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22,Śniadanie,"Melvit Platki Owsiane Gorskie","50x g",50,187,6.5,6.5,,3.35,0.6,0,0,0,0,30.5,0.8,0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2025-01-22,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2025-01-22,"II śniadanie",Banan,"85x g",85,82.45,0.85,0.85,0,0.255,0.102,0.0255,0.051,0.017,0.034,18.53,16.32,0,1.445,0,18.7,6.8,0.034,0.085,0.3145,0.306,,0,7.65,0,0.2295,0.425,0.425,0.153,17,2.38,28.05,0.085,335.75,0.884,0.85,5.1,0.34,0
2025-01-22,"II śniadanie",Marchew,"55x g",55,18.15,0.55,0.55,,0.11,0.022,0,0.066,0.011,0.055,4.785,2.75,,1.98,,17.6,910.8,0.0275,0.0275,,0.0825,,,1.87,,0.2805,0.2475,7.26,0.187,17.6,1.65,8.8,0.055,155.1,,45.1,19.8,0.275,0.1155
2025-01-22,Obiad,"Mięso z piersi kurczaka","290x g",290,287.1,62.35,0,62.35,3.77,0.87,0.87,0.87,,,0,0,168.2,0,,34.8,17.4,0.29,0.58,,1.74,,1.16,0,0,0.87,35.96,,1.45,696,0,95.7,0,1116.5,,159.5,14.5,1.16,
