Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-02-05,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-02-05,Śniadanie,"Blåbær (mrożone)","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-02-05,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-02-05,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2024-02-05,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-02-05,"II śniadanie",Mandarynka,"85x g",85,38.25,0.51,0.51,,0.17,0.017,0.0255,0.034,0.0085,0.0255,9.52,7.82,0,1.615,,17.85,13.6,0.0935,0.017,,0.0595,,0,26.18,0,0.17,0.17,,0.0595,15.3,0.68,14.45,0.0425,160.65,,1.02,25.5,0.255,0
2024-02-05,"II śniadanie",Marchew,"80x g",80,26.4,0.8,0.8,,0.16,0.032,0,0.096,0.016,0.08,6.96,4,,2.88,,25.6,1324.8,0.04,0.04,,0.12,,,2.72,,0.408,0.36,10.56,0.272,25.6,2.4,12.8,0.08,225.6,,65.6,28.8,0.4,0.168
2024-02-05,Obiad,"Kasza gryczana prażoną kupiec","60x g",60,220.2,7.56,,,1.86,0.36,,,,0,41.58,0.42,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,0.006
2024-02-05,Obiad,"Mięso z piersi kurczaka","250x g",250,247.5,53.75,0,53.75,3.25,0.75,0.75,0.75,,,0,0,145,0,,30,15,0.25,0.5,,1.5,,1,0,0,0.75,31,,1.25,600,0,82.5,0,962.5,,137.5,12.5,1,
2024-02-05,Obiad,"Sweet &sour saus","130x g",130,117,0.78,,,0.13,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,Obiad,"Papryka konserwowa","130x g",130,54.6,1.17,,,0.39,0.13,,,,,10.27,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
