Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-05-02,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-05-02,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-05-02,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-05-02,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-05-02,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,"II śniadanie",Brukselka,"150x g",150,64.5,5.7,,,0.75,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,"II śniadanie","Winogrono białe","530x g",530,376.3,2.65,,,1.06,0.53,,,,,85.33,,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,"II śniadanie",Mandarynka,"50x g",50,22.5,0.3,0.3,,0.1,0.01,0.015,0.02,0.005,0.015,5.6,4.6,0,0.95,,10.5,8,0.055,0.01,,0.035,,0,15.4,0,0.1,0.1,,0.035,9,0.4,8.5,0.025,94.5,,0.6,15,0.15,0
2024-05-02,Obiad,Ziemniaki,"200x g",200,174,3.8,3.8,0,0.2,0.02,0,0.12,0.02,0.1,41,0.6,,3.2,,30,2,0.2,0.08,,0.66,,,22,0,0.1,2.8,,0.7,122,6,46,0.28,982,,16,8,1.2,0.04
2024-05-02,Obiad,"Masło niesolone","6x g",6,45.06,0.03,,,4.98,3.24,1.14,,,,0.03,0.03,,,,,47.46,,,,,,,,,0.132,,,,,,,,,,,,,0.0018
2024-05-02,Obiad,"Prior Egg fra Frittgående Norske Høner","65x g",65,96.85,8.45,,,7.15,1.95,,,0,0,0.195,0.195,,,,44.2,,,0.26,,,,0.845,,0,3.315,,,,,0.0195,,,,14.3,,,,0.26
2024-05-02,Obiad,Kulturmjølk,"280x g",280,156.8,9.24,,,8.4,5.32,,,,,11.2,11.2,,,,,,,0.42,,,,0.84,,,,,28,,280,44.8,,,478.8,,,322,,0.28
2024-05-02,Przekąska,"Wasa Fiber Balance","2x porcja",20,65.8,2.6,,,1,0.2,,,,,8.4,0.4,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2024-05-02,Przekąska,"Mager Cottage cheese","115x g",115,90.85,14.95,,,2.3,1.495,,,,,2.415,2.415,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2024-05-02,Kolacja,"Wasa Fiber Balance","2x porcja",20,65.8,2.6,,,1,0.2,,,,,8.4,0.4,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2024-05-02,Kolacja,"Mager Cottage cheese","135x g",135,106.65,17.55,,,2.7,1.755,,,,,2.835,2.835,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.54
2024-05-20,Śniadanie,"Mleko 2%","1x szklanka",230,117.3,7.82,,,4.6,2.76,,,,,11.27,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2024-05-20,Śniadanie,"Jogurt naturalny hej","150x g",150,90,6,,,3.75,2.55,,,,,7.95,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2024-05-25,Śniadanie,"Serek light pliladelphiA Zielona cebulka czosnek","35x g",35,49.35,2.485,,,3.465,2.345,,,,,1.855,1.82,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,0.343
