Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-04-13,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-04-13,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-04-13,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-04-13,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-13,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,"II śniadanie",Marchew,"80x g",80,26.4,0.8,0.8,,0.16,0.032,0,0.096,0.016,0.08,6.96,4,,2.88,,25.6,1324.8,0.04,0.04,,0.12,,,2.72,,0.408,0.36,10.56,0.272,25.6,2.4,12.8,0.08,225.6,,65.6,28.8,0.4,0.168
2024-04-13,"II śniadanie",Mandarynka,"85x g",85,38.25,0.51,0.51,,0.17,0.017,0.0255,0.034,0.0085,0.0255,9.52,7.82,0,1.615,,17.85,13.6,0.0935,0.017,,0.0595,,0,26.18,0,0.17,0.17,,0.0595,15.3,0.68,14.45,0.0425,160.65,,1.02,25.5,0.255,0
2024-04-13,Obiad,Ziemniaki,"195x g",195,169.65,3.705,3.705,0,0.195,0.0195,0,0.117,0.0195,0.0975,39.975,0.585,,3.12,,29.25,1.95,0.195,0.078,,0.6435,,,21.45,0,0.0975,2.73,,0.6825,118.95,5.85,44.85,0.273,957.45,,15.6,7.8,1.17,0.039
2024-04-13,Obiad,"Prior Egg fra Frittgående Norske Høner","130x g",130,193.7,16.9,,,14.3,3.9,,,0,0,0.39,0.39,,,,88.4,,,0.52,,,,1.69,,0,6.63,,,,,0.039,,,,28.6,,,,0.52
2024-04-13,Obiad,"Masło niesolone","7x g",7,52.57,0.035,,,5.81,3.78,1.33,,,,0.035,0.035,,,,,55.37,,,,,,,,,0.154,,,,,,,,,,,,,0.0021
2024-04-13,Obiad,Kulturmjølk,"300x g",300,168,9.9,,,9,5.7,,,,,12,12,,,,,,,0.45,,,,0.9,,,,,30,,300,48,,,513,,,345,,0.3
2024-04-13,Obiad,"Mięso z piersi kurczaka","210x g",210,207.9,45.15,0,45.15,2.73,0.63,0.63,0.63,,,0,0,121.8,0,,25.2,12.6,0.21,0.42,,1.26,,0.84,0,0,0.63,26.04,,1.05,504,0,69.3,0,808.5,,115.5,10.5,0.84,
2024-04-13,Obiad,"Rema 1000 Raps- og Olivenolje","5x g",5,41.4,0,,,4.6,0.38,3.05,1.3,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-13,Obiad,Fullkornstortillas,"1x porcja",64,188.16,6.272,,,3.776,0.576,,,,,30.08,1.024,,4.096,,,,,,,,,,,,,,,,,,,,,,,,,0.5376
2024-04-13,Kolacja,"Tine mleko ekstra lett","250x g",250,92.5,8.75,,,1.25,0.75,,,,,11.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2024-04-13,Kolacja,"Mager Cottage cheese","100x g",100,79,13,,,2,1.3,,,,,2.1,2.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2024-04-14,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-04-14,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-04-14,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-04-14,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-14,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,"II śniadanie",Mandarynka,"170x g",170,76.5,1.02,1.02,,0.34,0.034,0.051,0.068,0.017,0.051,19.04,15.64,0,3.23,,35.7,27.2,0.187,0.034,,0.119,,0,52.36,0,0.34,0.34,,0.119,30.6,1.36,28.9,0.085,321.3,,2.04,51,0.51,0
2024-04-14,"II śniadanie",Brukselka,"150x g",150,64.5,5.7,,,0.75,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,Obiad,Ziemniaki,"155x g",155,134.85,2.945,2.945,0,0.155,0.0155,0,0.093,0.0155,0.0775,31.775,0.465,,2.48,,23.25,1.55,0.155,0.062,,0.5115,,,17.05,0,0.0775,2.17,,0.5425,94.55,4.65,35.65,0.217,761.05,,12.4,6.2,0.93,0.031
2024-04-14,Obiad,"Prior Egg fra Frittgående Norske Høner","67x g",67,99.83,8.71,,,7.37,2.01,,,0,0,0.201,0.201,,,,45.56,,,0.268,,,,0.871,,0,3.417,,,,,0.0201,,,,14.74,,,,0.268
2024-04-14,Obiad,Cebula,"32x g",32,10.56,0.448,0.448,0,0.128,0.0352,0.0128,0.0544,0.0064,0.048,2.208,1.632,0,0.544,,5.44,0.64,0.0096,0.0096,,0.032,,0,1.92,0,0.0384,0.064,0.128,0.0768,4.48,0.576,2.56,0.0192,38.72,,1.92,8,0.16,0.0064
2024-04-14,Obiad,"Masło niesolone","8x g",8,60.08,0.04,,,6.64,4.32,1.52,,,,0.04,0.04,,,,,63.28,,,,,,,,,0.176,,,,,,,,,,,,,0.0024
2024-04-14,Obiad,"Grillpølse av kylling","130x g",130,245.7,15.6,,,15.6,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,Przekąska,Kulturmjølk,"310x g",310,173.6,10.23,,,9.3,5.89,,,,,12.4,12.4,,,,,,,0.465,,,,0.93,,,,,31,,310,49.6,,,530.1,,,356.5,,0.31
2024-04-14,Przekąska,Pączek,"1x sztuka",80,332,6.08,,,12.4,4.56,,,,,49.68,19.44,116,1.2,,28.64,131.2,0.072,0.144,,0.056,,0.432,0.24,0.464,0.56,0.6,,0.664,96,,11.2,0.08,133.6,,109.6,38.4,1.52,0.272
2024-04-14,Kolacja,"Wasa Fiber Balance","5x porcja",50,164.5,6.5,,,2.5,0.5,,,,,21,1,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,0.55
2024-04-14,Kolacja,"Śledź atlantycki bismarck w zalewie octowej","145x g",145,191.4,17.11,,,12.76,2.61,,,,,2.175,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,4.785
2024-04-14,Kolacja,"Tine mleko ekstra lett","210x g",210,77.7,7.35,,,1.05,0.63,,,,,9.45,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2024-04-14,Kolacja,"Mager Cottage cheese","120x g",120,94.8,15.6,,,2.4,1.56,,,,,2.52,2.52,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.48
2024-04-15,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-04-15,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-04-15,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-04-15,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-15,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,"II śniadanie",Brukselka,"150x g",150,64.5,5.7,,,0.75,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,"II śniadanie",Banan,"95x g",95,92.15,0.95,0.95,0,0.285,0.114,0.0285,0.057,0.019,0.038,22.325,18.24,0,1.615,0,20.9,7.6,0.038,0.095,0.3515,0.342,,0,8.55,0,0.2565,0.475,0.475,0.171,19,2.66,31.35,0.095,375.25,0.988,0.95,5.7,0.38,0
2024-04-15,"II śniadanie",Mandarynka,"65x g",65,29.25,0.39,0.39,,0.13,0.013,0.0195,0.026,0.0065,0.0195,7.28,5.98,0,1.235,,13.65,10.4,0.0715,0.013,,0.0455,,0,20.02,0,0.13,0.13,,0.0455,11.7,0.52,11.05,0.0325,122.85,,0.78,19.5,0.195,0
2024-04-15,"II śniadanie",Mandarynka,"190x g",190,85.5,1.14,1.14,,0.38,0.038,0.057,0.076,0.019,0.057,21.28,17.48,0,3.61,,39.9,30.4,0.209,0.038,,0.133,,0,58.52,0,0.38,0.38,,0.133,34.2,1.52,32.3,0.095,359.1,,2.28,57,0.57,0
2024-04-15,Obiad,Ziemniaki,"155x g",155,134.85,2.945,2.945,0,0.155,0.0155,0,0.093,0.0155,0.0775,31.775,0.465,,2.48,,23.25,1.55,0.155,0.062,,0.5115,,,17.05,0,0.0775,2.17,,0.5425,94.55,4.65,35.65,0.217,761.05,,12.4,6.2,0.93,0.031
2024-04-15,Obiad,Cebula,"25x g",25,8.25,0.35,0.35,0,0.1,0.0275,0.01,0.0425,0.005,0.0375,1.725,1.275,0,0.425,,4.25,0.5,0.0075,0.0075,,0.025,,0,1.5,0,0.03,0.05,0.1,0.06,3.5,0.45,2,0.015,30.25,,1.5,6.25,0.125,0.005
2024-04-15,Obiad,"Grillpølse av kylling","185x g",185,349.65,22.2,,,22.2,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
