Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-11-01,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-11-01,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-11-01,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,Śniadanie,"Płatki owsiane górskie","50x g",50,181.5,6.5,,,2.85,0.6,,,,,30,0.9,,5,,,,,,,,,,,,,,,,,,,,,,4,,,0.01
2024-11-01,Śniadanie,"Frokost youhurt melon pasjon","200x g",200,146,9.2,,,5.4,3.6,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,"II śniadanie",Marchew,"150x g",150,49.5,1.5,1.5,,0.3,0.06,0,0.18,0.03,0.15,13.05,7.5,,5.4,,48,2484,0.075,0.075,,0.225,,,5.1,,0.765,0.675,19.8,0.51,48,4.5,24,0.15,423,,123,54,0.75,0.315
2024-11-01,"II śniadanie",Banan,"140x g",140,135.8,1.4,1.4,0,0.42,0.168,0.042,0.084,0.028,0.056,30.52,26.88,0,2.38,0,30.8,11.2,0.056,0.14,0.518,0.504,,0,12.6,0,0.378,0.7,0.7,0.252,28,3.92,46.2,0.14,553,1.456,1.4,8.4,0.56,0
2024-11-01,"II śniadanie",Marchew,"85x g",85,28.05,0.85,0.85,,0.17,0.034,0,0.102,0.017,0.085,7.395,4.25,,3.06,,27.2,1407.6,0.0425,0.0425,,0.1275,,,2.89,,0.4335,0.3825,11.22,0.289,27.2,2.55,13.6,0.085,239.7,,69.7,30.6,0.425,0.1785
2024-11-01,Obiad,"Rema 1000 Raps- og Olivenolje","3x g",3,24.84,0,,,2.76,0.228,1.83,0.78,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-11-01,Obiad,"Kupiec Kasza Gryczana Prazona","50x g",50,172,6.5,6.3,,1.6,0.3,,,,0,32,0.4,,3,,,,,,,,,,,,,,,,,,,,,,0,,,0.02
2024-11-01,Obiad,"Mięso z piersi kurczaka","140x g",140,138.6,30.1,0,30.1,1.82,0.42,0.42,0.42,,,0,0,81.2,0,,16.8,8.4,0.14,0.28,,0.84,,0.56,0,0,0.42,17.36,,0.7,336,0,46.2,0,539,,77,7,0.56,
2024-11-01,Obiad,"Kapusta kiszona","150x g",150,30,1.65,,,0.3,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,Przekąska,"Wasa Husman 520g","54x g",54,178.2,4.86,,,1.2474,0.216,,,,,32.4,0.81,,10.8,,,,,,,,,,,,,,,,,,,,,,216,,,0.54
2024-11-01,Przekąska,Pomidor,"100x g",100,19,0.9,0.9,0,0.2,0.05,0.02,0.12,0.01,0.11,4.1,2.8,0,1.2,0,39,107,0.06,0.04,0.09,0.15,2,0,23,0,1.22,1,7.9,0.26,21,1.1,8,0.06,282,0.3,8,9,0.5,0.02
2024-11-01,Przekąska,"Oliwa z oliwek","50x g",50,448.5,0,,,49.8,7.43,35.06,5.305,0.415,4.89,0.1,0,0,0,,,,,,,,,,0,,5.975,,,0.03,0.5,2.5,0,0.035,,,0.5,0,0.2,0
2024-11-02,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-02,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-11-02,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-11-02,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-02,Śniadanie,"Płatki owsiane górskie","50x g",50,181.5,6.5,,,2.85,0.6,,,,,30,0.9,,5,,,,,,,,,,,,,,,,,,,,,,4,,,0.01
2024-11-02,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-11-02,"II śniadanie","Prior Egg fra Frittgående Norske Høner","1x sztuka",56,83.44,7.28,,,6.16,1.68,,,0,0,0.168,0.168,,,,38.08,,,0.224,,,,0.728,,0,2.856,,,,,0.0168,,,,12.32,,,,0.224
2024-11-02,"II śniadanie","Wasa Husman 520g","27x g",27,89.1,2.43,,,0.6237,0.108,,,,,16.2,0.405,,5.4,,,,,,,,,,,,,,,,,,,,,,108,,,0.27
2024-11-02,"II śniadanie",Smalec,"1x łyżeczka",6,53.76,0,,,5.97,2.7924,2.5488,0.3828,0.0174,0.3654,0,,5.7,,,0,0,0.0012,0,,0.0108,,0,0,0,0.072,0,0,0.0024,0.06,0,0,0,0.06,,0.072,0,0.006,0
2024-11-02,"II śniadanie",Banan,"150x g",150,145.5,1.5,1.5,0,0.45,0.18,0.045,0.09,0.03,0.06,32.7,28.8,0,2.55,0,33,12,0.06,0.15,0.555,0.54,,0,13.5,0,0.405,0.75,0.75,0.27,30,4.2,49.5,0.15,592.5,1.56,1.5,9,0.6,0
2024-11-04,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-11-04,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-11-04,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
