Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-06-03,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2024-06-03,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-06-03,Śniadanie,"Jogurt naturalny","180x g",180,120.6,8.64,,,5.58,3.78,,,,,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,216,,0.306
2024-06-03,"II śniadanie",Kalarepa,"150x g",150,49.5,3.3,3.3,,0.45,0.045,0.045,0.225,0.135,0.09,9.75,5.25,,3.3,,30,49.5,0.09,0.075,,0.21,,,97.05,0,0.03,0.45,0.15,0.39,69,0.9,15,0.24,456,,12,63,1.35,0.03
2024-06-03,"II śniadanie","Papryka czerwona","55x g",55,17.6,0.715,0.715,,0.275,0.055,0.011,0.154,0.055,0.099,3.63,2.53,,1.1,,28.6,290.4,0.022,0.066,,0.2475,,,79.2,,1.595,0.88,2.695,0.143,17.05,0.55,6.05,0.044,140.25,,1.76,7.15,0.33,0.0055
2024-06-03,"II śniadanie",Marchew,"35x g",35,11.55,0.35,0.35,,0.07,0.014,0,0.042,0.007,0.035,3.045,1.75,,1.26,,11.2,579.6,0.0175,0.0175,,0.0525,,,1.19,,0.1785,0.1575,4.62,0.119,11.2,1.05,5.6,0.035,98.7,,28.7,12.6,0.175,0.0735
2024-06-03,"II śniadanie","Chleb zwykły","30x g",30,76.5,1.95,1.95,,0.39,0.084,0.066,0.246,0.012,0.234,16.89,0.42,,1.26,,8.28,,0.045,0.024,,0.03,,,,,0.141,0.315,2.31,0.351,29.4,,8.7,0.039,44.4,,117.36,5.1,0.36,0.294
2024-06-03,Przekąska,"Fit cereal biscuits","1x opakowanie",50,216,4.1,,,8,1,,,,,32.5,5.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,0.245
2024-06-03,Kolacja,"Twarożek wiejski ze szczypiorkiem","200x g",200,284,18.2,,,20,14,,,,0,7.6,7.4,,,,,,,,,,,,,,,,,,,,,,,,520,,,1.3
2024-06-07,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2024-06-07,Śniadanie,"Jogurt naturalny gęsty","200x g",200,116,6.6,,,5.6,4,,,,,9.8,9.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2024-06-07,"II śniadanie","Pomidor malinowy","200x g",200,38,1.8,,,0.4,,,,,,8,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-07,"II śniadanie","Twarożek wiejski ze szczypiorkiem","200x g",200,284,18.2,,,20,14,,,,0,7.6,7.4,,,,,,,,,,,,,,,,,,,,,,,,520,,,1.3
2024-06-07,"II śniadanie","Serek włoski","40x g",40,75.2,4.8,,,5.6,3.92,,,0,0,1.44,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-06-07,"II śniadanie","Mleko 2%","60x g",60,30.6,2.04,,,1.2,0.72,,,,,2.94,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
2024-06-07,Obiad,"Szczytno Premium Kasza Jeczmienna Perlowa","50x g",50,169,3.5,,,1.1,0.2,,,,0,34.5,0.25,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-06-07,Obiad,"Mięso z piersi kurczaka","200x g",200,198,43,0,43,2.6,0.6,0.6,0.6,,,0,0,116,0,,24,12,0.2,0.4,,1.2,,0.8,0,0,0.6,24.8,,1,480,0,66,0,770,,110,10,0.8,
2024-06-07,Obiad,"Kapusta kiszona","200x g",200,40,2.2,,,0.4,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-07,Obiad,"Kujawski Olej rzepakowy z pierwszego tłoczenia 1 l","11x g",11,99,0,,,11,0.825,7.205,2.915,0.88,,0,0,,,,,,,,,,,,,,2.75,,8.25,,,,,,,,,,,0
2024-06-07,Kolacja,Kalarepa,"3x sztuka",510,168.3,11.22,11.22,,1.53,0.153,0.153,0.765,0.459,0.306,33.15,17.85,,11.22,,102,168.3,0.306,0.255,,0.714,,,329.97,0,0.102,1.53,0.51,1.326,234.6,3.06,51,0.816,1550.4,,40.8,214.2,4.59,0.102
2024-06-07,Kolacja,"Mleko 2%","200x g",200,102,6.8,,,4,2.4,,,,,9.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-06-08,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2024-06-08,Śniadanie,"Jogurt naturalny gęsty","180x g",180,104.4,5.94,,,5.04,3.6,,,,,8.82,8.82,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.198
2024-06-08,"II śniadanie",Banan,"120x g",120,116.4,1.2,1.2,0,0.36,0.144,0.036,0.072,0.024,0.048,28.2,23.04,0,2.04,0,26.4,9.6,0.048,0.12,0.444,0.432,,0,10.8,0,0.324,0.6,0.6,0.216,24,3.36,39.6,0.12,474,1.248,1.2,7.2,0.48,0
2024-06-08,"II śniadanie",Truskawki,"85x g",85,28.05,0.595,0.595,0,0.34,0.017,0.0595,0.17,0.085,0.119,6.46,4.93,0,1.53,,14.45,1.7,0.0255,0.0595,,0.051,,0,56.1,0,0.102,0.238,1.87,0.0765,21.25,2.295,8.5,0.0935,113.05,,1.02,22.1,0.595,0
2024-06-08,"II śniadanie","Jogurt naturalny hej","80x g",80,48,3.2,,,2,1.36,,,,,4.24,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088
2024-06-08,Obiad,"Kujawski Olej rzepakowy z pierwszego tłoczenia 1 l","11x g",11,99,0,,,11,0.825,7.205,2.915,0.88,,0,0,,,,,,,,,,,,,,2.75,,8.25,,,,,,,,,,,0
2024-06-08,Obiad,"Mięso z piersi kurczaka","180x g",180,178.2,38.7,0,38.7,2.34,0.54,0.54,0.54,,,0,0,104.4,0,,21.6,10.8,0.18,0.36,,1.08,,0.72,0,0,0.54,22.32,,0.9,432,0,59.4,0,693,,99,9,0.72,
2024-06-08,Obiad,"Home Food Kasza Jeczmienna Wiejska Gruba","1x porcja",50,163,5.5,,,0.3,0.1,,,0,0,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
2024-06-08,Obiad,"Kapusta kiszona","115x g",115,23,1.265,,,0.23,,,,,,2.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-08,Przekąska,Grzesiek,"1x opakowanie",26,135.72,2.86,,,7.54,4.42,,,,,13.78,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117
2024-06-08,Przekąska,Grzesiek,"2x opakowanie",52,271.44,5.72,,,15.08,8.84,,,,,27.56,14.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234
2024-06-09,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2024-06-09,Śniadanie,"Jogurt naturalny gęsty","180x g",180,104.4,5.94,,,5.04,3.6,,,,,8.82,8.82,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.198
2024-06-09,"II śniadanie",Banan,"110x g",110,106.7,1.1,1.1,0,0.33,0.132,0.033,0.066,0.022,0.044,25.85,21.12,0,1.87,0,24.2,8.8,0.044,0.11,0.407,0.396,,0,9.9,0,0.297,0.55,0.55,0.198,22,3.08,36.3,0.11,434.5,1.144,1.1,6.6,0.44,0
2024-06-09,"II śniadanie",Kalafior,"700x g",700,189,16.8,16.8,0,1.4,0.21,0.07,0.7,0.63,0.07,35,23.1,0,16.8,,385,14,0.77,0.7,,1.05,,0,483,0,0.84,4.2,108.5,1.61,196,4.2,77,0.28,1498,,182,91,4.2,0.49
2024-06-09,"II śniadanie","Mleko 2%","100x g",100,51,3.4,,,2,1.2,,,,,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2024-06-09,"II śniadanie",Marchew,"100x g",100,33,1,1,,0.2,0.04,0,0.12,0.02,0.1,8.7,5,,3.6,,32,1656,0.05,0.05,,0.15,,,3.4,,0.51,0.45,13.2,0.34,32,3,16,0.1,282,,82,36,0.5,0.21
2024-06-09,Obiad,"Kujawski Olej rzepakowy z pierwszego tłoczenia 1 l","10x g",10,90,0,,,10,0.75,6.55,2.65,0.8,,0,0,,,,,,,,,,,,,,2.5,,7.5,,,,,,,,,,,0
2024-06-09,Obiad,"Mięso z piersi kurczaka","170x g",170,168.3,36.55,0,36.55,2.21,0.51,0.51,0.51,,,0,0,98.6,0,,20.4,10.2,0.17,0.34,,1.02,,0.68,0,0,0.51,21.08,,0.85,408,0,56.1,0,654.5,,93.5,8.5,0.68,
2024-06-09,Obiad,"Home Food Kasza Jeczmienna Wiejska Gruba","1x porcja",50,163,5.5,,,0.3,0.1,,,0,0,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
2024-06-09,Obiad,"Kapusta kiszona","200x g",200,40,2.2,,,0.4,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-09,Przekąska,Grzesiek,"1x porcja",26,135.72,2.86,,,7.54,4.42,,,,,13.78,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117
2024-06-09,Kolacja,"Twarożek wiejski ze szczypiorkiem","200x g",200,284,18.2,,,20,14,,,,0,7.6,7.4,,,,,,,,,,,,,,,,,,,,,,,,520,,,1.3
2024-06-09,Kolacja,"Mleko 2%","200x g",200,102,6.8,,,4,2.4,,,,,9.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-06-10,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2024-06-10,Śniadanie,"Jogurt naturalny gęsty","180x g",180,104.4,5.94,,,5.04,3.6,,,,,8.82,8.82,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.198
2024-06-10,"II śniadanie",Marchew,"50x g",50,16.5,0.5,0.5,,0.1,0.02,0,0.06,0.01,0.05,4.35,2.5,,1.8,,16,828,0.025,0.025,,0.075,,,1.7,,0.255,0.225,6.6,0.17,16,1.5,8,0.05,141,,41,18,0.25,0.105
2024-06-10,Przekąska,Grzesiek,"1x porcja",26,135.72,2.86,,,7.54,4.42,,,,,13.78,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117
