Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-03-25,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-03-25,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-03-25,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-03-25,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-25,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25,"II śniadanie","Prior Egg fra Frittgående Norske Høner","60x g",60,89.4,7.8,,,6.6,1.8,,,0,0,0.18,0.18,,,,40.8,,,0.24,,,,0.78,,0,3.06,,,,,0.018,,,,13.2,,,,0.24
2024-03-25,"II śniadanie","Wasa Fiber Balance","3x porcja",30,98.7,3.9,,,1.5,0.3,,,,,12.6,0.6,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2024-03-25,"II śniadanie","Røkt Laks","80x g",80,180,18.4,,,12,2,,,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
2024-03-25,Obiad,Marchew,"130x g",130,42.9,1.3,1.3,,0.26,0.052,0,0.156,0.026,0.13,11.31,6.5,,4.68,,41.6,2152.8,0.065,0.065,,0.195,,,4.42,,0.663,0.585,17.16,0.442,41.6,3.9,20.8,0.13,366.6,,106.6,46.8,0.65,0.273
2024-03-25,Obiad,"Naturell scampi serveringsklar","130x g",130,105.3,23.4,,,0.65,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25,Obiad,"Ogórek zielony","90x g",90,12.6,0.63,0.63,,0.09,0.027,0,0.036,0.018,0.018,2.61,0,0,0.45,,13.5,25.2,0.027,0.036,,0.036,,,7.2,0,0.144,0.171,14.76,0.216,20.7,2.61,7.2,0.099,112.5,,10.08,13.5,0.18,0.027
2024-03-25,Obiad,Awokado,"80x g",80,135.2,1.6,1.6,0,12.24,1.44,9.208,1.064,0.056,1.008,5.92,1.12,0,2.64,,49.6,5.6,0.088,0.096,,0.224,,0,6.4,0,1.04,1.52,16.8,0.32,32.8,1.6,31.2,0.144,480,,8,8.8,0.8,0.024
2024-03-25,Obiad,"Kapusta pekińska","200x g",200,32,2.4,2.4,0,0.4,0.1,0.04,0.22,0.16,0.06,6.4,2.8,0,3.8,,154,280,0.08,0.1,,0.46,,0,54,0,0.24,0.8,,0.56,74,0,30,0.08,300,,18.4,90,0.6,0.04
2024-03-25,Obiad,"Premium light soy sauce","30x g",30,27.6,2.31,,,0.15,0.03,,,,,4.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2024-03-25,Obiad,"Papier ryżowy kwadratowy 22cm","72x g",72,252,0,,,0,,,,,,61.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25,Przekąska,Banan,"95x g",95,92.15,0.95,0.95,0,0.285,0.114,0.0285,0.057,0.019,0.038,22.325,18.24,0,1.615,0,20.9,7.6,0.038,0.095,0.3515,0.342,,0,8.55,0,0.2565,0.475,0.475,0.171,19,2.66,31.35,0.095,375.25,0.988,0.95,5.7,0.38,0
2024-03-26,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-03-26,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-03-26,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-26,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-03-26,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-26,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-26,"II śniadanie",Banan,"95x g",95,92.15,0.95,0.95,0,0.285,0.114,0.0285,0.057,0.019,0.038,22.325,18.24,0,1.615,0,20.9,7.6,0.038,0.095,0.3515,0.342,,0,8.55,0,0.2565,0.475,0.475,0.171,19,2.66,31.35,0.095,375.25,0.988,0.95,5.7,0.38,0
2024-03-30,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-03-30,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-03-30,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-03-30,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-30,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,"II śniadanie",Mandarynka,"70x g",70,31.5,0.42,0.42,,0.14,0.014,0.021,0.028,0.007,0.021,7.84,6.44,0,1.33,,14.7,11.2,0.077,0.014,,0.049,,0,21.56,0,0.14,0.14,,0.049,12.6,0.56,11.9,0.035,132.3,,0.84,21,0.21,0
2024-03-30,"II śniadanie","Tine mleko ekstra lett","100x g",100,37,3.5,,,0.5,0.3,,,,,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
