Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-09-26,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-09-26,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-09-26,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,Śniadanie,"Płatki owsiane, górskie extra","50x g",50,188.5,7.5,,,3.7,1,,,,,28.5,0.65,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-09-26,"II śniadanie",Banan,"60x g",60,58.2,0.6,0.6,0,0.18,0.072,0.018,0.036,0.012,0.024,14.1,11.52,0,1.02,0,13.2,4.8,0.024,0.06,0.222,0.216,,0,5.4,0,0.162,0.3,0.3,0.108,12,1.68,19.8,0.06,237,0.624,0.6,3.6,0.24,0
2024-09-26,"II śniadanie",Marchew,"120x g",120,39.6,1.2,1.2,,0.24,0.048,0,0.144,0.024,0.12,10.44,6,,4.32,,38.4,1987.2,0.06,0.06,,0.18,,,4.08,,0.612,0.54,15.84,0.408,38.4,3.6,19.2,0.12,338.4,,98.4,43.2,0.6,0.252
2024-09-26,"II śniadanie",Pomidor,"115x g",115,21.85,1.035,1.035,0,0.23,0.0575,0.023,0.138,0.0115,0.1265,4.715,3.22,0,1.38,0,44.85,123.05,0.069,0.046,0.1035,0.1725,2.3,0,26.45,0,1.403,1.15,9.085,0.299,24.15,1.265,9.2,0.069,324.3,0.345,9.2,10.35,0.575,0.023
2024-09-26,"II śniadanie","Bułka pszenna zwykła","90x g",90,248.4,8.01,8.01,0,1.35,0.243,0.27,0.81,0.054,0.756,51.93,1.08,0,1.62,,25.56,0,0.09,0.054,,0.036,,0,0,0,0.342,0.738,,0.63,66.6,2.52,16.2,0.09,100.8,,341.28,13.5,0.99,0.855
2024-09-26,Obiad,"Mięso z piersi kurczaka","245x g",245,242.55,52.675,0,52.675,3.185,0.735,0.735,0.735,,,0,0,142.1,0,,29.4,14.7,0.245,0.49,,1.47,,0.98,0,0,0.735,30.38,,1.225,588,0,80.85,0,943.25,,134.75,12.25,0.98,
2024-09-27,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-09-27,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-09-27,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,Śniadanie,"Płatki owsiane, górskie extra","50x g",50,188.5,7.5,,,3.7,1,,,,,28.5,0.65,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-09-27,"II śniadanie",Banan,"140x g",140,135.8,1.4,1.4,0,0.42,0.168,0.042,0.084,0.028,0.056,32.9,26.88,0,2.38,0,30.8,11.2,0.056,0.14,0.518,0.504,,0,12.6,0,0.378,0.7,0.7,0.252,28,3.92,46.2,0.14,553,1.456,1.4,8.4,0.56,0
2024-09-27,"II śniadanie",Marchew,"150x g",150,49.5,1.5,1.5,,0.3,0.06,0,0.18,0.03,0.15,13.05,7.5,,5.4,,48,2484,0.075,0.075,,0.225,,,5.1,,0.765,0.675,19.8,0.51,48,4.5,24,0.15,423,,123,54,0.75,0.315
2024-09-27,Obiad,"Mięso z piersi kurczaka","245x g",245,242.55,52.675,0,52.675,3.185,0.735,0.735,0.735,,,0,0,142.1,0,,29.4,14.7,0.245,0.49,,1.47,,0.98,0,0,0.735,30.38,,1.225,588,0,80.85,0,943.25,,134.75,12.25,0.98,
2024-09-27,Obiad,"Kupiec Kasza Gryczana Prazona","50x g",50,172,6.5,6.3,,1.6,0.3,,,,0,32,0.4,,3,,,,,,,,,,,,,,,,,,,,,,0,,,0.02
2024-09-27,Obiad,"Oliwa z oliwek","5x g",5,44.85,0,,,4.98,0.743,3.506,0.5305,0.0415,0.489,0.01,0,0,0,,,,,,,,,,0,,0.5975,,,0.003,0.05,0.25,0,0.0035,,,0.05,0,0.02,0
2024-09-27,Obiad,Pomidor,"125x g",125,23.75,1.125,1.125,0,0.25,0.0625,0.025,0.15,0.0125,0.1375,5.125,3.5,0,1.5,0,48.75,133.75,0.075,0.05,0.1125,0.1875,2.5,0,28.75,0,1.525,1.25,9.875,0.325,26.25,1.375,10,0.075,352.5,0.375,10,11.25,0.625,0.025
2024-09-27,Obiad,"Kapusta kiszona","150x g",150,30,1.65,,,0.3,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,Przekąska,"Tine mleko ekstra lett","250x ml",250,92.5,8.75,,,1.25,0.75,,,,,11.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2024-09-27,Kolacja,"Wasa Fiber Balance","4x porcja",40,131.6,5.2,,,2,0.4,,,,,16.8,0.8,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2024-09-27,Kolacja,Pomidor,"70x g",70,13.3,0.63,0.63,0,0.14,0.035,0.014,0.084,0.007,0.077,2.87,1.96,0,0.84,0,27.3,74.9,0.042,0.028,0.063,0.105,1.4,0,16.1,0,0.854,0.7,5.53,0.182,14.7,0.77,5.6,0.042,197.4,0.21,5.6,6.3,0.35,0.014
2024-09-27,Kolacja,"Mager Cottage cheese","180x g",180,142.2,23.4,,,3.6,2.34,,,,,3.78,3.78,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2024-09-27,Kolacja,"Prior Egg fra Frittgående Norske Høner","63x g",63,93.87,8.19,,,6.93,1.89,,,0,0,0.189,0.189,,,,42.84,,,0.252,,,,0.819,,0,3.213,,,,,0.0189,,,,13.86,,,,0.252
2024-09-28,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-09-28,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-09-28,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,Śniadanie,"Płatki owsiane, górskie extra","50x g",50,188.5,7.5,,,3.7,1,,,,,28.5,0.65,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,0.005
