Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2024-07-03,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2024-07-03,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2024-07-03,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2024-07-03,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-07-03,Śniadanie,"Blåbar freskfryset","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,"II śniadanie",Marchew,"90x g",90,29.7,0.9,0.9,,0.18,0.036,0,0.108,0.018,0.09,7.83,4.5,,3.24,,28.8,1490.4,0.045,0.045,,0.135,,,3.06,,0.459,0.405,11.88,0.306,28.8,2.7,14.4,0.09,253.8,,73.8,32.4,0.45,0.189
2024-07-03,"II śniadanie",Banan,"125x g",125,121.25,1.25,1.25,0,0.375,0.15,0.0375,0.075,0.025,0.05,29.375,24,0,2.125,0,27.5,10,0.05,0.125,0.4625,0.45,,0,11.25,0,0.3375,0.625,0.625,0.225,25,3.5,41.25,0.125,493.75,1.3,1.25,7.5,0.5,0
2024-07-03,Obiad,"Гречневая крупа","50x g",50,174.5,6.3,,,1.55,0.3,,,,,34.65,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,Obiad,"Oliwa z oliwek najwyższej jakości z pierwszego tłoczenia Kalamata O.D.O","6x g",6,49.68,0,,,5.52,0.84,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,Obiad,"Mięso z piersi kurczaka","240x g",240,237.6,51.6,0,51.6,3.12,0.72,0.72,0.72,,,0,0,139.2,0,,28.8,14.4,0.24,0.48,,1.44,,0.96,0,0,0.72,29.76,,1.2,576,0,79.2,0,924,,132,12,0.96,
2024-07-03,Obiad,"Kapusta kiszona","200x g",200,40,2.2,,,0.4,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,Kolacja,"Tine mleko ekstra lett","600x ml",600,222,21,,,3,1.8,,,,,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
