Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-09-02,Kolacja,Pomidor,"105x g",105,19.95,0.945,0.945,0,0.21,0.0525,0.021,0.126,0.0105,0.1155,4.305,2.94,0,1.26,0,40.95,112.35,0.063,0.042,0.0945,0.1575,2.1,0,24.15,0,1.281,1.05,8.295,0.273,22.05,1.155,8.4,0.063,296.1,0.315,8.4,9.45,0.525,0.021
2023-09-02,Kolacja,Marchew,"95x g",95,31.35,0.95,0.95,,0.19,0.038,0,0.114,0.019,0.095,8.265,4.75,,3.42,,30.4,1573.2,0.0475,0.0475,,0.1425,,,3.23,,0.4845,0.4275,12.54,0.323,30.4,2.85,15.2,0.095,267.9,,77.9,34.2,0.475,0.1995
2023-09-02,Kolacja,Mleko,"315x g",315,129.15,11.025,,,3.15,1.89,,,,,14.175,14.175,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315
2023-09-03,Śniadanie,"Maliny mrożone","35x g",35,10.15,0.385,,,0.175,0,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035
2023-09-03,Śniadanie,"Kirsebær uten sten","25x g",25,10.25,0.175,,,0,0,,,,,2.25,2.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-03,Śniadanie,"Eldorado Økologiske Blåbær","30x g",30,12.9,0.15,,,0.15,0,,,0,0,2.28,1.92,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-03,Śniadanie,"Smoothie blanding jordbaer OG banan","90x g",90,44.1,0.63,,,0.45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-03,Śniadanie,"Borówka amerykańska","50x g",50,30.5,0.3,,,0.3,,,,,,7.5,4.5,,,,3,,0.02,0.02,0.06,,,,5,,,0.21,,,,,,,,,,,,
2023-09-03,Śniadanie,"Płatki owsiane","60x g",60,204,6.6,,,2.1,0.36,,,,,36,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006
2023-09-03,Śniadanie,Mleko,"205x g",205,84.05,7.175,,,2.05,1.23,,,,,9.225,9.225,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205
2023-09-03,"II śniadanie","Prior Egg fra Frittgående Norske Høner","68x g",68,101.32,8.84,,,7.208,2.04,,,0,0,0.204,0.204,,,,45.56,,,0,,,,0.816,,0,0.0068,,,,,0.0204,,,,14.28,,,,0.272
2023-09-03,"II śniadanie","Kornbrød grovt","54x g",54,130.14,5.778,,,4.536,0.702,,,,,17.55,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-03,"II śniadanie","Kapusta pekińska","40x g",40,6.4,0.48,0.48,0,0.08,0.02,0.008,0.044,0.032,0.012,1.28,0.56,0,0.76,,30.8,56,0.016,0.02,,0.092,,0,10.8,0,0.048,0.16,,0.112,14.8,0,6,0.016,60,,3.68,18,0.12,0.008
2023-09-03,"II śniadanie",Ruccula,"8x g",8,2.24,0.208,,,0.056,0.008,,,,,0.16,0.16,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,0.008
2023-09-03,"II śniadanie","Łosoś wędzony","28x g",28,57.12,5.88,,,3.64,0.504,,,,,0.196,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728
2023-09-03,Obiad,Ziemniaki,"190x g",190,165.3,3.61,3.61,0,0.19,0.019,0,0.114,0.019,0.095,38.95,0.57,,3.04,,28.5,1.9,0.19,0.076,,0.627,,,20.9,0,0.095,2.66,,0.665,115.9,5.7,43.7,0.266,932.9,,15.2,7.6,1.14,0.038
