Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-12-01,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2023-12-01,Śniadanie,"Blåbær (mrożone)","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-12-01,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-12-01,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-12-01,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-12-01,"II śniadanie",Banan,"80x g",80,77.6,0.8,0.8,0,0.24,0.096,0.024,0.048,0.016,0.032,18.8,15.36,0,1.36,0,17.6,6.4,0.032,0.08,0.296,0.288,,0,7.2,0,0.216,0.4,0.4,0.144,16,2.24,26.4,0.08,316,0.832,0.8,4.8,0.32,0
2023-12-01,"II śniadanie",Jabłko,"170x g",170,85,0.68,0.68,0,0.68,0.068,0.017,0.153,0.017,0.136,20.57,16.49,0,3.4,0,10.2,6.8,0.051,0.051,0.102,0.051,,0,15.64,,0.833,0.289,2.21,0.272,15.3,2.72,5.1,0.068,227.8,0.51,3.4,6.8,0.51,0.017
2023-12-01,Obiad,"Sante Kasza jaglana 350 g","30x g",30,104.4,3.15,3.3,,0.87,0.18,0,0,,,20.52,0.03,0,0.96,,9,0,0.219,0.114,,0.225,,0,0,0,0,0,,1.02,72,0,30,0.234,0,0,0,0,1.44,0.003
2023-12-01,Obiad,"Olej rzepakowy uniwersalny","4x g",4,36,0,,,4,0.2668,2.5188,1.0336,0.3228,0.708,0,,0,0,,0,0,0,0,,0,,0,0,0,1.0692,0,,0,0,0,0,0.0016,0,,0,0,0,0
2023-12-01,Obiad,"Mięso z piersi kurczaka","265x g",265,262.35,56.975,0,56.975,3.445,0.795,0.795,0.795,,,0,0,153.7,0,,31.8,15.9,0.265,0.53,,1.59,,1.06,0,0,0.795,32.86,,1.325,636,0,87.45,0,1020.25,,145.75,13.25,1.06,
2023-12-01,Obiad,"Polan Cucumbers in Brine Pasteurized 860g","185x g",185,22.2,1.85,,,0.185,,,,,,2.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2023-12-01,Obiad,"Fullkorn fusilli","100x g",100,346,12,,,3.2,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,Przekąska,"Hot dog Orlen","1x porcja",200,435.9,18.08,7.68,,16.21,5.53,0.22,0.85,0.05,0.8,56.85,2.37,0,5.36,,34.64,0,0.2,0.06,,0.14,,0,0,,0.7,3.31,,1.6,152.8,,52,0.18,182.4,,378.56,19.2,1.84,2.83
2023-12-03,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
