Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-11-01,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2023-11-01,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-11-01,Śniadanie,"Yogurth Natural (tine)","200x g",200,138,8.2,,,6.8,4.6,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-11-01,Śniadanie,"Młyny Stoisław Płatki owsiane górskie ekstra 500 g","50x g",50,188,5.95,5.95,,3.6,0.65,0,0,,,31.2,0.45,0,3.45,,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
2023-11-01,"II śniadanie",Marchew,"60x g",60,19.8,0.6,0.6,,0.12,0.024,0,0.072,0.012,0.06,5.22,3,,2.16,,19.2,993.6,0.03,0.03,,0.09,,,2.04,,0.306,0.27,7.92,0.204,19.2,1.8,9.6,0.06,169.2,,49.2,21.6,0.3,0.126
2023-11-01,Obiad,"Basmati Ris Himalaya","50x g",50,178.5,4.4,,,0.25,0.05,,,,,39.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
2023-11-01,Obiad,Laksefilet,"245x g",245,548.8,49,,,39.2,7.35,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-11-01,Obiad,"Kapusta czerwona gotowana - Rødkål","170x g",170,102,2.04,,,0.17,0,,,,,20.74,19.04,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53
2023-11-01,Przekąska,"Rema 1000 Prima Digestive Fullkornkjeks","45x g",45,210.15,4.005,,,8.1,0.585,5.85,0.9,0,0,28.8,8.1,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,0.495
