Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-08-19,Śniadanie,Banan,"139x g",139,134.83,1.39,1.39,0,0.417,0.1668,0.0417,0.0834,0.0278,0.0556,32.665,26.688,0,2.363,0,30.58,11.12,0.0556,0.139,0.5143,0.5004,,0,12.51,0,0.3753,0.695,0.695,0.2502,27.8,3.892,45.87,0.139,549.05,1.4456,1.39,8.34,0.556,0
2023-08-19,Śniadanie,"Q Melk lett 1% fett","265x g",265,108.65,9.275,,,2.65,1.855,,,,,11.925,11.925,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265
2023-08-19,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-08-19,Lunch,Awokado,"54x g",54,91.26,1.08,1.08,0,8.262,0.972,6.2154,0.7182,0.0378,0.6804,3.996,0.756,0,1.782,,33.48,3.78,0.0594,0.0648,,0.1512,,0,4.32,0,0.702,1.026,11.34,0.216,22.14,1.08,21.06,0.0972,324,,5.4,5.94,0.54,0.0162
2023-08-19,Lunch,Fullkornstortillas,"116x g",116,341.04,11.368,,,6.844,1.044,,,,,54.52,1.856,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9744
2023-08-19,Lunch,"Cottage cheese","165x g",165,130.35,21.45,,,3.3,2.145,,,,,3.465,3.465,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.66
2023-08-19,Lunch,"Philadelphia light","35x g",35,52.5,2.52,,,3.85,2.59,,,,,1.82,1.82,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.245
2023-08-19,Lunch,"Røkt Laks","81x g",81,182.25,18.63,,,12.15,2.025,,,,,0.405,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,2.511
2023-08-19,Lunch,"Polan Cucumbers in Brine Pasteurized 860g","50x g",50,6,0.5,,,0.05,,,,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-08-19,Przekąska,"Prince polo classic","1x opakowanie",17.5,91.7,0.98,,,5.075,2.8,,,,,10.15,7,,0.735,,,,,,,,,,,,,,,,,,,,,,19.6,,,0.05425
2023-08-19,Przekąska,"Prince polo classic","2x opakowanie",35,183.4,1.96,,,10.15,5.6,,,,,20.3,14,,1.47,,,,,,,,,,,,,,,,,,,,,,39.2,,,0.1085
2023-08-19,Przekąska,"Isbjørn Is Krone-Is Pistasj","280x g",280,851.2,10.08,,,47.6,36.4,,,0,0,95.2,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588
2023-08-20,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-08-20,Śniadanie,"Q Melk lett 1% fett","250x g",250,102.5,8.75,,,2.5,1.75,,,,,11.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2023-08-20,Śniadanie,Banan,"114x g",114,110.58,1.14,1.14,0,0.342,0.1368,0.0342,0.0684,0.0228,0.0456,26.79,21.888,0,1.938,0,25.08,9.12,0.0456,0.114,0.4218,0.4104,,0,10.26,0,0.3078,0.57,0.57,0.2052,22.8,3.192,37.62,0.114,450.3,1.1856,1.14,6.84,0.456,0
2023-08-20,Lunch,Fullkornstortillas,"60x g",60,176.4,5.88,,,3.54,0.54,,,,,28.2,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504
2023-08-20,Lunch,"Philadelphia light","24x g",24,36,1.728,,,2.64,1.776,,,,,1.248,1.248,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,0.168
2023-08-20,Lunch,"Cottage cheese","45x g",45,35.55,5.85,,,0.9,0.585,,,,,0.945,0.945,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2023-08-20,Lunch,Awokado,"34x g",34,57.46,0.68,0.68,0,5.202,0.612,3.9134,0.4522,0.0238,0.4284,2.516,0.476,0,1.122,,21.08,2.38,0.0374,0.0408,,0.0952,,0,2.72,0,0.442,0.646,7.14,0.136,13.94,0.68,13.26,0.0612,204,,3.4,3.74,0.34,0.0102
2023-08-20,Lunch,"Røkt Laks","33x g",33,74.25,7.59,,,4.95,0.825,,,,,0.165,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,1.023
