Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-10-01,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2023-10-01,Śniadanie,"Blåbær (mrożone)","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-10-01,Śniadanie,Tyttebær,"20x g",20,8.8,0.14,,,0.12,,,,,,1.4,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-10-01,Śniadanie,"Bærblanding - bringebær, bjørnebær, rips, blåbær, solbær","30x g",30,13.5,0.36,,,0.24,,,,,,1.71,1.71,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-10-01,Śniadanie,"Q Naturell Yoghurt","200x g",200,126,10,,,6,4,,,0,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,274,,0.2
2023-10-01,Śniadanie,"Musli Hasselnøtt 78% fullkorn","50x g",50,186.5,5.5,,,3.8,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2023-10-02,Śniadanie,"Blåbær (mrożone)","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-10-02,Śniadanie,Tyttebær,"20x g",20,8.8,0.14,,,0.12,,,,,,1.4,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,Śniadanie,"Kirsebær uten sten","30x g",30,12.3,0.21,,,0,0,,,,,2.7,2.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-10-02,Śniadanie,"Q Naturell Yoghurt","200x g",200,126,10,,,6,4,,,0,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,274,,0.2
2023-10-02,Śniadanie,"Musli Hasselnøtt 78% fullkorn","50x g",50,186.5,5.5,,,3.8,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,"II śniadanie",Jabłko,"170x g",170,85,0.68,0.68,0,0.68,0.068,0.017,0.153,0.017,0.136,20.57,16.49,0,3.4,0,10.2,6.8,0.051,0.051,0.102,0.051,,0,15.64,,0.833,0.289,2.21,0.272,15.3,2.72,5.1,0.068,227.8,0.51,3.4,6.8,0.51,0.017
2023-10-02,"II śniadanie","Tine Lettmelk 1% Fett","50x g",50,20.5,1.75,,,0.5,0.3,,,0,0,2.25,2.25,,,,,,,0.075,,,0.005,0.3,,0,,,,,57.5,0.01,,,85.5,,,65,,0.05
2023-10-02,"II śniadanie",Marchew,"90x g",90,29.7,0.9,0.9,,0.18,0.036,0,0.108,0.018,0.09,7.83,4.5,,3.24,,28.8,1490.4,0.045,0.045,,0.135,,,3.06,,0.459,0.405,11.88,0.306,28.8,2.7,14.4,0.09,253.8,,73.8,32.4,0.45,0.189
2023-10-02,Obiad,"ZD Duru Pirinç Riz","50x g",50,175,3.15,,,0.7,0.1,,,0,0,38.7,0,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.05
2023-10-02,Obiad,Brokuły,"95x g",95,29.45,2.85,2.85,,0.38,0.0475,0.019,0.133,0.1045,0.0285,4.94,2.185,,2.375,,113.05,145.35,0.0665,0.114,0.475,0.152,,0,78.85,0,1.235,0.57,96.52,0.38,62.7,14.25,21.85,0.0285,365.75,2.375,6.84,45.6,0.855,0.019
2023-10-02,Obiad,"Torske-Filet, lettsaltet, med skinn uten ben","200x g",200,164,36,,,2.2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2023-10-02,Obiad,Cukinia,"70x g",70,11.9,0.84,0.84,0,0.07,0,0,0,0,0,2.24,1.75,0,0.7,,36.4,23.8,0.049,0.021,,0.063,,0,6.3,0,0.07,0.28,,0.21,22.4,1.61,15.4,0.056,175,,2.24,10.5,0.28,0.007
2023-10-02,Obiad,"Kapusta kiszona","80x g",80,16,0.88,,,0.16,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,Przekąska,"Rema 1000 Prima Digestive Fullkornkjeks","15x g",15,70.05,1.335,,,2.7,0.195,1.95,0.3,0,0,9.6,2.7,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2023-10-02,Kolacja,"Cottage cheese","200x g",200,158,26,,,4,2.6,,,,,4.2,4.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.8
2023-10-02,Kolacja,Pomidor,"90x g",90,17.1,0.81,0.81,0,0.18,0.045,0.018,0.108,0.009,0.099,3.69,2.52,0,1.08,0,35.1,96.3,0.054,0.036,0.081,0.135,1.8,0,20.7,0,1.098,0.9,7.11,0.234,18.9,0.99,7.2,0.054,253.8,0.27,7.2,8.1,0.45,0.018
2023-10-02,Kolacja,"Tine Lettmelk 1% Fett","250x g",250,102.5,8.75,,,2.5,1.5,,,0,0,11.25,11.25,,,,,,,0.375,,,0.025,1.5,,0,,,,,287.5,0.05,,,427.5,,,325,,0.25
2023-10-02,Kolacja,"Kakao o obniżonej zawartości tłuszczu","1x łyżeczka",5,15.2,1.15,1.15,0,0.5,0.345,,,,,0.7,0.025,,1.65,,,,,,,,,,,,,,,,,,,,,,1,,,0.0025
2023-10-03,Śniadanie,"Truskawki mrozone rema 1000","60x g",60,20.4,0.3,,,0.3,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03,Śniadanie,"Maliny mrożone","30x g",30,8.7,0.33,,,0.15,0,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
2023-10-03,Śniadanie,"Blåbær (mrożone)","30x g",30,15.3,0.3,,,0.27,,,,,,2.25,2.25,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-10-03,Śniadanie,Tyttebær,"20x g",20,8.8,0.14,,,0.12,,,,,,1.4,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
